Formatted Date,pred_Temperature (C)_normalized
2016-12-31 23:00:00,-1.119955
2017-01-01 00:00:00,-1.1307712
2017-01-01 01:00:00,-1.1498388
2017-01-01 02:00:00,-1.142577
2017-01-01 03:00:00,-1.1423485
2017-01-01 04:00:00,-1.1496315
2017-01-01 05:00:00,-1.1440287
2017-01-01 06:00:00,-1.1473848
2017-01-01 07:00:00,-1.1019042
2017-01-01 08:00:00,-1.0582901
2017-01-01 09:00:00,-1.0045223
2017-01-01 10:00:00,-0.95814955
2017-01-01 11:00:00,-0.9145866
2017-01-01 12:00:00,-0.9118924
2017-01-01 13:00:00,-0.9256954
2017-01-01 14:00:00,-0.9477456
2017-01-01 15:00:00,-1.0037055
2017-01-01 16:00:00,-1.0692917
2017-01-01 17:00:00,-1.1164573
2017-01-01 18:00:00,-1.1434964
2017-01-01 19:00:00,-1.1421691
2017-01-01 20:00:00,-1.143313
2017-01-01 21:00:00,-1.1589525
2017-01-01 22:00:00,-1.1746119
