Weather Type,Temperature_normalized,Humidity_normalized,Wind Speed_normalized,Precipitation (%)_normalized,Cloud Cover_clear,Cloud Cover_cloudy,Cloud Cover_overcast,Cloud Cover_partly cloudy,Atmospheric Pressure_normalized,UV Index_normalized,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Visibility (km)_normalized,Location_coastal,Location_inland,Location_mountain,Weather Type_Cloudy_Sunny,Weather Type_Rainy_Snowy
Rainy_Snowy,-0.2897016157849442,0.22403920787572754,-0.03940040877086145,0.8904137317242681,0,0,0,1,0.14168366336720914,-0.5176780270177845,0,0,0,1,-0.5890447095342342,0,1,0,0,1
Cloudy_Sunny,1.151941495941081,1.3644658535703282,-0.18502431958796517,0.5475343105833733,0,0,0,1,0.1583617287984073,0.7786214227503263,0,1,0,0,1.375582543256331,0,1,0,1,0
Cloudy_Sunny,0.6329499757197119,-0.22221469696129012,-0.40346018581362075,-1.1668627951211004,1,0,0,0,0.3576782812466954,0.260101642843082,0,1,0,0,0.015455983632093509,0,0,1,1,0
Cloudy_Sunny,1.09427577147204,0.7198768799168583,-1.2043916953076912,0.8904137317242681,1,0,0,0,0.5635566955039777,0.7786214227503263,0,1,0,0,-1.3446705759921438,1,0,0,1,0
Rainy_Snowy,0.45995280231258884,0.2736229750798406,1.0527789223574164,0.39168002824660303,0,0,1,0,-0.4092393176798389,-0.7769379169714067,0,0,0,1,-0.891295056117398,0,0,1,0,1
Cloudy_Sunny,0.7482814246577939,-0.6684686017983078,-0.9131438736734838,-0.8551542304475597,0,0,1,0,0.12008420157925835,-0.5176780270177845,0,0,1,0,-0.13566918965948843,0,1,0,1,0
Rainy_Snowy,-1.2123532072896002,1.4140496207744413,-0.25783627499651707,1.0150971575936842,0,0,1,0,-0.4037710995056734,-0.7769379169714067,0,0,0,1,-0.4379195362426523,0,1,0,0,1
Rainy_Snowy,-0.9240245849443952,0.8190444143250845,-0.5490840966307245,1.326805722267225,0,0,0,1,-0.5790274919876359,-0.7769379169714067,0,0,0,1,-0.5890447095342342,0,1,0,0,1
Rainy_Snowy,-0.9240245849443952,0.7198768799168583,-0.5490840966307245,0.39168002824660303,0,0,1,0,-0.16945795074273506,-1.0361978069250288,0,0,0,1,-1.3446705759921438,0,0,1,0,1
Cloudy_Sunny,0.5176185267816299,0.2736229750798406,-0.18502431958796517,1.6696851434081197,1,0,0,0,0.17750049240798332,1.0378813127039483,0,0,0,1,0.6199566767984213,1,0,0,1,0
Cloudy_Sunny,0.9212785980649169,-1.1643062738394385,-0.5490840966307245,1.0150971575936842,0,0,0,1,-3.4383587752581097,-0.5176780270177845,0,1,0,0,-1.3446705759921438,0,0,1,1,0
Cloudy_Sunny,1.09427577147204,-1.2634738082476646,-1.1315797398991394,-1.1668627951211004,1,0,0,0,0.6431192699380693,1.815660982564815,1,0,0,0,0.6199566767984213,0,1,0,1,0
Cloudy_Sunny,-0.4050330647230262,-0.4701335329818555,0.10622350204624229,-0.8863250869149137,0,0,0,1,0.285497801347728,-0.25841813706416233,1,0,0,0,0.015455983632093509,0,0,1,1,0
Rainy_Snowy,-1.6736790030419282,0.9182119487333106,0.7615311007232091,0.4228508847139571,0,0,1,0,-0.5317274047811149,-1.0361978069250288,0,0,0,1,-1.1935454027005619,0,1,0,0,1
Cloudy_Sunny,0.28695562890546583,-2.3543166867381524,-0.9131438736734838,-1.416229646859933,1,0,0,0,0.36205285578602586,1.0378813127039483,0,0,0,1,0.015455983632093509,1,0,0,1,0
Cloudy_Sunny,-0.5203645136611081,-0.9163874378188732,-0.47627214122217265,-0.23173710110047832,0,0,0,1,-0.14211685987191394,-0.5176780270177845,0,0,1,0,0.9222070233815851,0,0,1,1,0
Cloudy_Sunny,0.6329499757197119,-2.056814083513474,-0.40346018581362075,-1.2603753645231626,0,0,0,1,0.2937001286089731,0.260101642843082,0,1,0,0,0.6199566767984213,0,1,0,1,0
Cloudy_Sunny,0.8059471491268348,-0.8668036706147602,-1.350015606124795,-0.8239833739802056,0,0,1,0,0.09684427433905979,-0.25841813706416233,1,0,0,0,0.015455983632093509,1,0,0,1,0
Cloudy_Sunny,1.382604393817245,-1.1147225066353255,-1.350015606124795,-1.1980336515884544,1,0,0,0,0.5512532046121069,1.2971412026575706,0,1,0,0,0.16658115692367542,0,0,1,1,0
Cloudy_Sunny,-0.3473673402539852,1.6619684567950068,0.3246593682718979,0.5787051670507274,1,0,0,0,0.18078142331248198,0.0008417528894598197,0,0,1,0,0.7710818500900032,0,1,0,1,0
Rainy_Snowy,-1.6736790030419282,-0.07346339534895091,-0.18502431958796517,0.6722177364527896,0,0,1,0,-0.38572597953093235,-0.7769379169714067,0,0,0,1,-0.7401698828258161,0,0,1,0,1
Rainy_Snowy,-1.5006818296348052,0.9677957159374236,0.39747132368044974,1.389147435201933,0,0,1,0,-0.692493019101546,-0.7769379169714067,0,0,0,1,-0.7401698828258161,0,1,0,0,1
Cloudy_Sunny,0.8059471491268348,-1.6105601786764563,-0.3306482304050689,-1.1045210821863922,1,0,0,0,0.23655724868895608,1.0378813127039483,0,0,1,0,1.224457369964749,0,0,1,1,0
Cloudy_Sunny,0.40228707784354784,0.22403920787572754,0.5430952344975535,-0.7616416610454975,0,0,1,0,0.17449297241219264,-0.7769379169714067,0,0,1,0,1.073332196673167,0,1,0,1,0
Cloudy_Sunny,1.09427577147204,0.7198768799168583,-0.40346018581362075,1.4826600046039953,0,0,0,1,0.33635223036745565,0.0008417528894598197,0,1,0,0,0.9222070233815851,0,0,1,1,0
Rainy_Snowy,-0.8663588604753542,0.521541811100406,-1.2772036507162432,0.9839263011263303,0,0,0,1,-0.6317957973683225,-0.7769379169714067,0,0,0,1,-0.28679436295107036,0,1,0,0,1
Rainy_Snowy,-0.11670444237782117,0.17445544067161448,-0.3306482304050689,0.26699660237718675,0,0,1,0,0.12363854339246498,-0.5176780270177845,0,0,1,0,-0.7401698828258161,0,0,1,0,1
Cloudy_Sunny,1.2096072204101218,-0.5693010673900817,-0.8403319182649319,-1.2915462209905166,0,0,0,1,0.4126338738970456,1.815660982564815,0,0,0,1,1.224457369964749,1,0,0,1,0
Cloudy_Sunny,0.28695562890546583,-0.37096599857362933,-0.47627214122217265,-1.5720839291967033,0,0,0,1,0.34209385945032594,0.7786214227503263,1,0,0,0,0.015455983632093509,0,0,1,1,0
Rainy_Snowy,0.6329499757197119,0.07528790626338833,0.9071550115403128,0.01762975063835422,0,0,0,1,0.057746514393786946,-1.0361978069250288,0,0,0,1,-0.7401698828258161,0,0,1,0,1
Rainy_Snowy,0.5176185267816299,0.8190444143250845,-0.40346018581362075,1.357976578734579,0,0,1,0,-0.398302881331508,-0.7769379169714067,0,1,0,0,-1.04242022940898,1,0,0,0,1
Rainy_Snowy,-0.9816903094134362,-0.37096599857362933,0.9799669669488646,0.2981674588445408,0,0,1,0,-0.27061998696477446,-1.0361978069250288,0,0,0,1,-1.3446705759921438,0,1,0,0,1
Rainy_Snowy,-0.8663588604753542,1.3148820863662152,-1.0587677844905876,0.07997146357306235,0,0,1,0,-0.5743795065395975,-0.7769379169714067,0,0,0,1,-0.28679436295107036,0,1,0,0,1
Rainy_Snowy,-0.2320358913159032,1.4140496207744413,1.926522387260039,1.1709514399304546,0,0,1,0,0.10176567069580933,2.334180762472059,0,0,0,1,-0.891295056117398,0,0,1,0,1
