Weather Type,Temperature_normalized,Humidity_normalized,Wind Speed_normalized,Precipitation (%)_normalized,Cloud Cover_clear,Cloud Cover_cloudy,Cloud Cover_overcast,Cloud Cover_partly cloudy,Atmospheric Pressure_normalized,UV Index_normalized,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Visibility (km)_normalized,Location_coastal,Location_inland,Location_mountain,Weather Type_Rainy,Weather Type_Snowy,Weather Type_Other
Rainy,-0.2897016157849442,0.2240392078757275,-0.0394004087708614,0.8904137317242681,0,0,0,1,0.1416836633672091,-0.5176780270177845,0,0,0,1,-0.5890447095342342,0,1,0,1,0,0
Cloudy,1.151941495941081,1.3644658535703282,-0.1850243195879651,0.5475343105833733,0,0,0,1,0.1583617287984073,0.7786214227503263,0,1,0,0,1.375582543256331,0,1,0,0,0,1
Sunny,0.6329499757197119,-0.2222146969612901,-0.4034601858136207,-1.1668627951211004,1,0,0,0,0.3576782812466954,0.260101642843082,0,1,0,0,0.0154559836320935,0,0,1,0,0,1
Sunny,1.09427577147204,0.7198768799168583,-1.2043916953076912,0.8904137317242681,1,0,0,0,0.5635566955039777,0.7786214227503263,0,1,0,0,-1.3446705759921438,1,0,0,0,0,1
Rainy,0.4599528023125888,0.2736229750798406,1.0527789223574164,0.391680028246603,0,0,1,0,-0.4092393176798389,-0.7769379169714067,0,0,0,1,-0.891295056117398,0,0,1,1,0,0
Cloudy,0.7482814246577939,-0.6684686017983078,-0.9131438736734838,-0.8551542304475597,0,0,1,0,0.1200842015792583,-0.5176780270177845,0,0,1,0,-0.1356691896594884,0,1,0,0,0,1
Snowy,-1.2123532072896002,1.4140496207744413,-0.257836274996517,1.0150971575936842,0,0,1,0,-0.4037710995056734,-0.7769379169714067,0,0,0,1,-0.4379195362426523,0,1,0,0,1,0
Snowy,-0.9240245849443952,0.8190444143250845,-0.5490840966307245,1.326805722267225,0,0,0,1,-0.5790274919876359,-0.7769379169714067,0,0,0,1,-0.5890447095342342,0,1,0,0,1,0
Snowy,-0.9240245849443952,0.7198768799168583,-0.5490840966307245,0.391680028246603,0,0,1,0,-0.169457950742735,-1.0361978069250288,0,0,0,1,-1.3446705759921438,0,0,1,0,1,0
Sunny,0.5176185267816299,0.2736229750798406,-0.1850243195879651,1.6696851434081197,1,0,0,0,0.1775004924079833,1.0378813127039483,0,0,0,1,0.6199566767984213,1,0,0,0,0,1
