epoch,train_loss,val_MAE,val_RMSE
1,0.03977407304477277,0.17416795185783748,0.22265349371189228
2,0.02346192608386391,0.16371909226257875,0.21074868878072403
3,0.02174982722955046,0.16856019531392769,0.21692926179156075
4,0.020301069919028924,0.16758410185617734,0.21653336240071092
5,0.018583720917988072,0.17443511808707757,0.22720981012635844
6,0.01658157094922116,0.17822454011251002,0.2310454528815759
7,0.014779964323274039,0.1813831068923935,0.23581729782415173
8,0.01304822628669468,0.18790104583028291,0.24386008190709874
9,0.01180297649217853,0.19165280466803689,0.2491757886324248
10,0.010891188561886176,0.19371108189415318,0.24936321491826044
11,0.010188493298176346,0.19280435349385597,0.2499572543143753
12,0.009615661779218283,0.19503637603297935,0.25311279374190354
